draft_id	stem
AY26-B015-CV-DCM-001	a 39 year old woman received doxorubicin for lymphoma 8 years ago she now has progressive exertional dyspnea orthopnea a displaced diffuse apical impulse and an s3 coronary angiography shows no obstructive disease echocardiography demonstrates global hypokinesis a markedly enlarged left ventricular cavity and an ejection fraction of 24 which structural adaptation most directly accounts for the chamber geometry
AY26-B015-NEURO-GBM-001	a 63 year old man develops progressive confusion left sided weakness and morning headaches mri shows an irregular heterogeneously enhancing mass that crosses the splenium of the corpus callosum biopsy reveals necrotic foci surrounded by densely packed tumor cells and adjacent glomeruloid microvascular proliferation which signaling response most directly links the necrotic zones to the vascular finding
AY26-B015-NEURO-MENINGIOMA-001	a 54 year old woman is evaluated after a focal seizure mri shows a sharply circumscribed extra axial mass attached to the falx with a broad dural base and internal calcifications histology demonstrates uniform polygonal cells arranged in whorls around laminated calcified bodies from which cell type did this neoplasm most likely arise
AY26-B015-GI-PSC-001	a 36 year old man with a 9 year history of ulcerative colitis has fatigue pruritus and an alkaline phosphatase concentration three times the upper limit of normal magnetic resonance cholangiopancreatography shows alternating short strictures and mildly dilated segments in both intrahepatic and extrahepatic ducts which histopathologic change best explains the progressive duct narrowing
AY26-B015-GI-PBC-001	a 49 year old woman has progressive pruritus fatigue dry eyes and xanthelasmas alkaline phosphatase is markedly elevated bilirubin is mildly increased and ultrasonography shows no extrahepatic obstruction antimitochondrial antibodies are present at high titer which autoantigen is most characteristically targeted
AY26-B015-GI-PDAC-001	a 69 year old man has painless jaundice weight loss and a poorly defined mass in the pancreatic head biopsy shows irregular malignant glands dispersed through abundant collagen rich stroma the tumor has few patent blood vessels despite its large size which cell population is the principal source of this fibrotic matrix
AY26-B015-ID-CHOLERA-001	a relief worker develops abrupt painless profuse watery diarrhea after drinking untreated water in a coastal region he is afebrile stool microscopy shows no leukocytes and he becomes severely volume depleted within hours which molecular event in small intestinal epithelial cells causes the fluid loss
AY26-B015-ID-DIPHTHERIA-001	an incompletely immunized 8 year old boy has fever sore throat cervical swelling and an adherent gray pharyngeal membrane that bleeds when disturbed two days later he develops conduction abnormalities and reduced left ventricular function the bacterial toxin causes these systemic effects by which action
AY26-B015-ID-TETANUS-001	a 41 year old farmer develops trismus risus sardonicus and painful generalized muscle spasms 10 days after a contaminated puncture wound sensory examination is normal which synaptic abnormality produces the spastic paralysis
AY26-B015-ID-BOTULISM-001	a 44 year old woman and her spouse develop diplopia dysphagia dry mouth dilated pupils and descending symmetric weakness after sharing home canned vegetables sensation is intact which action of the responsible toxin best explains the paralysis
AY26-B015-IMM-WAS-001	a 10 month old boy has recurrent otitis an eczematous rash and petechiae platelet count is 24 000 mm3 and the mean platelet volume is markedly below the age adjusted range two maternal uncles died of infections in childhood which cellular defect best unifies the findings
AY26-B015-NEURO-LEMS-001	a 65 year old man with a 50 pack year smoking history has dry mouth and progressive difficulty rising from chairs hip flexor strength improves briefly after repeated contraction and previously absent patellar reflexes become detectable after exercise high frequency repetitive nerve stimulation produces a large incremental response which protein is the most likely target of the pathogenic antibody
AY26-B015-ENDO-ACROMEGALY-001	a 46 year old man has progressive enlargement of his hands and feet increased hat size prognathism diaphoresis sleep apnea and fasting hyperglycemia serum insulin like growth factor 1 is above the age adjusted range which result is expected during an oral glucose tolerance test
AY26-B015-REPRO-ENDOMETRIOSIS-001	a 31 year old woman has infertility deep dyspareunia and pelvic pain that peaks during menstruation examination reveals tender nodularity in the posterior cul de sac laparoscopy shows blue black peritoneal implants and an ovarian cyst filled with dark brown fluid which microscopic finding establishes the diagnosis
AY26-B015-RENAL-LITHIUM-NDI-001	a 44 year old woman with bipolar disorder treated with lithium has polyuria intense thirst serum sodium of 149 meq l and urine osmolality of 108 mosm kg urine osmolality changes minimally after desmopressin amiloride is added which action makes this drug particularly useful in this setting
AY26-B015-CV-DIGOXIN-001	a 78 year old man with chronic kidney disease takes digoxin for atrial fibrillation after several days of poor oral intake he develops nausea confusion yellow tinted vision bradycardia and frequent ventricular ectopy serum potassium is 6 3 meq l which mechanism most directly accounts for the hyperkalemia
AY26-B015-REPRO-KLINEFELTER-001	a 29 year old man is evaluated for infertility he is tall with sparse facial hair gynecomastia and small firm testes semen analysis shows azoospermia testosterone is low and follicle stimulating hormone and luteinizing hormone are elevated which testicular histology is most likely
AY26-B015-GEN-DOWN-ROB-001	a phenotypically healthy 27 year old woman is found to have the karyotype 45 xx rob 14 21 q10 q10 after giving birth to a child with down syndrome her partner has a normal karyotype which maternal gamete can produce a viable child with translocation trisomy 21 after fertilization by a normal paternal gamete
AY26-B015-GU-PROSTATE-BONE-001	a 72 year old man has urinary hesitancy weight loss and persistent low back pain that awakens him at night prostate specific antigen is markedly elevated imaging shows multiple dense sclerotic lesions in the lumbar spine and pelvis and serum alkaline phosphatase is increased which local skeletal response best explains the radiographic appearance
AY26-B015-HEME-WARFARIN-NECROSIS-001	a 43 year old woman with an acute proximal deep vein thrombosis is started on a large loading dose of warfarin without heparin on day 4 painful erythematous plaques develop over the breasts and thighs and become purpuric with central necrosis which mechanism most directly caused this complication
